#{"t_start": 1669935032.9009788, "env_id": null}
r,l,t
-4,605,576.988829
-3,795,577.607555
-2,824,578.213701
-4,870,578.917469
-3,721,579.495337
4,677,579.996989
1,1070,580.761799
-4,607,581.185666
-4,642,581.661771
-5,445,582.007357
-5,436,582.314246
-5,468,582.652068
-5,565,583.03996
-3,687,583.527028
-4,660,584.010024
-4,602,584.457336
-4,585,584.867659
-3,670,585.34844
1,1136,586.209637
-3,569,586.64417
-1,876,587.332316
-5,396,587.633844
-4,669,588.111485
-3,613,588.52837
-3,809,589.145534
-4,485,589.535061
-2,822,590.170823
-2,933,590.881645
-2,759,591.473417
-3,797,592.047294
-5,515,592.422257
2,778,592.978364
-2,820,593.58119
-3,706,594.10356
-4,555,594.526195
-2,698,595.076192
-1,766,595.64459
-3,619,596.10432
-3,778,596.727196
-3,614,597.17617
3,687,597.956083
-5,392,598.390456
-5,401,598.754512
-4,523,599.242631
-3,640,599.821549
3,705,600.479078
-3,609,601.160253
-1,812,602.043242
-4,722,602.937849
-4,667,603.67388
-5,643,604.344086
-3,632,604.984374
-5,619,605.612088
-3,769,606.454833
-1,841,607.400306
1,831,608.341788
-2,1048,609.448495
-1,1252,610.763747
-5,683,611.449834
-5,511,611.955946
-4,661,612.699722
-4,703,613.431212
-4,739,614.185218
-3,969,615.163934
-1,902,616.129686
2,722,616.982183
-3,666,617.659814
-1,961,618.677016
-1,944,619.677341
-5,426,620.158054
-5,498,620.65772
-2,754,621.482899
-1,834,622.345351
-2,661,622.975006
-4,480,623.487196
3,634,624.131976
-2,739,624.837114
1,1020,625.903639
-2,697,626.617081
-2,790,627.38817
-3,612,627.976531
-4,799,628.779604
-1,893,629.72186
-3,588,630.288157
-2,854,631.050121
-2,859,631.861677
-3,638,632.458536
-1,851,633.217085
-3,891,634.174417
-2,834,635.026235
-2,651,635.735183
-5,445,636.140904
-5,811,636.992736
-4,1091,638.047385
-4,482,638.495678
2,676,639.13796
-2,707,639.806065
-2,738,640.482256
-4,691,641.155456
-3,635,641.747443
-3,776,642.500151
2,1043,643.469446
-4,493,643.925905
3,621,644.506896
-1,928,645.410072
-4,489,646.00746
5,516,646.479196
-1,971,647.419957
-3,734,648.127557
-1,868,649.034208
-3,650,649.751477
3,786,650.584589
-3,651,651.226899
-3,649,651.855931
1,750,652.617813
-2,791,653.502698
-4,837,654.338547
2,901,655.238984
-4,476,655.73939
-3,630,656.323829
-4,572,656.912881
-4,555,657.483275
-2,843,658.341451
-1,815,659.115958
-4,654,659.719967
-2,784,660.463553
-3,589,661.005107
4,621,661.658762
2,880,662.453071
3,909,663.268889
-5,430,663.675889
-4,527,664.14962
-5,403,664.529134
-2,972,665.425634
-2,734,666.121986
-4,531,666.646013
-4,473,667.094813
-5,382,667.499834
-3,849,668.279539
-2,972,669.274196
-2,993,670.21696
-4,717,670.884073
3,649,671.498955
-1,963,672.48403
-2,790,673.3286
-1,1041,674.35006
-4,473,674.844955
4,583,675.370574
-3,616,675.922652
2,730,676.611941
-4,646,677.175434
-1,996,678.045108
1,889,678.844214
-5,428,679.23494
-3,750,679.891184
-1,1023,680.82324
-5,418,681.213646
-5,415,681.596143
-4,632,682.159636
-4,493,682.639922
-3,630,683.277468
-2,834,684.14577
2,695,684.844902
2,861,685.719903
-5,523,686.234538
-2,817,687.225877
-1,945,688.216546
-4,492,688.751462
-4,570,689.385776
-2,808,690.307842
1,795,691.168222
-2,751,691.911233
-3,654,692.511527
-3,660,693.120583
-3,718,693.847586
-2,769,694.621855
-2,812,695.387723
-2,1074,696.409393
-5,482,696.879224
1,799,697.682918
-4,758,698.221221
-1,896,698.855421
-4,566,699.273947
-2,665,699.800216
-1,910,700.446234
-2,699,700.980237
-5,410,701.294114
-3,674,701.763111
-1,962,702.503506
-4,571,702.912398
-2,726,703.427155
-4,512,703.804893
-3,699,704.304874
-5,494,704.652968
-4,801,705.205987
-1,1088,706.016857
-4,766,706.588215
3,1074,707.346324
-3,606,707.778672
2,742,708.329964
-2,861,708.936808
-4,534,709.315794
-4,816,709.879914
-1,811,710.450802
3,938,711.130241
-5,501,711.506183
-4,491,711.8677
-1,988,712.593468
-3,666,713.077206
1,852,713.73019
-4,585,714.174792
1,957,714.945272
1,825,715.573565
-4,539,715.996435
-3,918,716.66365
-3,775,717.313717
-1,1059,718.129955
-5,429,718.460489
-3,888,719.133459
-4,537,719.53044
-3,887,720.17851
-5,393,720.459429
-1,1251,721.356629
-1,863,721.968245
-3,644,722.418856
-5,614,722.862471
-2,945,723.531006
-4,619,723.96819
3,813,724.576977
-3,590,724.995909
-1,783,725.536853
-1,736,726.067434
-3,658,726.531339
5,416,726.829879
-1,1087,727.608251
-2,692,728.096509
-4,781,728.672594
-3,636,729.133392
-1,869,729.763216
5,503,730.181587
3,640,730.662601
1,791,731.224059
-5,492,731.57083
-1,982,732.249606
-1,900,732.915499
-3,781,733.489102
-5,386,733.772626
-4,461,734.107751
2,1004,734.856476
1,944,735.527382
-4,587,735.940212
-4,647,736.423129
-4,597,736.852668
-5,507,737.224714
-4,680,737.70189
-1,908,738.361652
-4,785,738.938058
-5,403,739.244362
-4,568,739.651263
-4,987,740.377075
4,554,740.773656
-4,673,741.345873
-3,897,742.029045
-3,645,742.492805
-3,728,743.020071
-5,442,743.332386
-2,805,743.915341
-5,374,744.184541
-5,465,744.528902
-2,776,745.121364
-1,750,745.664015
-5,424,745.979805
-1,813,746.560643
-1,853,747.192713
1,1005,747.907143
-1,868,748.52242
-1,1168,749.420783
-1,1402,750.460549
-3,622,750.895387
1,909,751.873716
1,998,752.804758
-4,496,753.259821
-4,562,753.786292
-4,621,754.353487
1,976,755.290504
-1,972,756.36712
1,779,757.23854
2,771,758.021662
-2,915,759.014735
-4,517,759.576842
3,675,760.251146
2,900,761.091085
-2,639,761.688639
1,1088,762.740328
-4,554,763.314654
-3,600,763.865898
3,639,764.473707
-5,576,765.02057
-2,724,765.736258
1,1005,766.77355
-3,657,767.455241
-2,1111,768.604038
-3,591,769.144807
-4,551,769.685742
-3,589,770.252881
-2,707,770.900976
1,873,771.72613
-3,658,772.319192
-1,867,773.082124
-1,766,773.796545
-5,629,774.373424
-3,653,774.990681
-3,688,775.63071
-1,754,776.324195
2,798,777.047765
3,801,777.789931
-4,524,778.249727
-4,610,778.799228
5,447,779.217051
-1,798,779.992079
-5,554,780.491655
-3,654,781.13703
-4,801,781.888133
2,788,782.696371
-3,654,783.424444
-2,834,784.343964
-5,486,784.829666
-5,450,785.300407
-4,610,785.92773
-2,635,786.619879
-2,857,787.54017
-2,915,788.457714
-4,523,788.967699
-3,762,789.738559
-4,742,790.438635
1,1053,791.417122
-3,571,791.939338
-4,532,792.468024
2,797,793.233191
-5,399,793.619296
-5,525,794.136943
-4,487,794.623264
-1,903,795.544971
-2,802,796.321211
-4,556,796.859436
-3,626,797.510128
-1,860,798.345343
-5,452,798.789258
-2,837,799.5888
-4,624,800.143317
2,716,800.806365
-2,744,801.532744
-2,951,802.48338
1,865,803.249331
-5,449,803.647734
-1,903,804.459628
2,778,805.232294
-4,709,805.874965
4,618,806.428959
-5,423,806.802958
-5,548,807.314589
-2,721,808.027105
-4,800,808.744209
-4,633,809.330392
1,921,810.232674
-3,730,810.902666
-5,498,811.348474
-5,468,811.769348
-3,675,812.365752
1,788,813.109305
-3,646,813.711021
-3,783,814.506439
-2,698,815.161649
-3,966,816.074097
