explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-3.2317404747009277,408000,674,2.0765178203582764,81600,0.001185433124192059,-2.23,714.43
-253.20909118652344,408500,674,2.074942111968994,81700,6.979412137297913e-05,-2.25,713.55
-255.13021850585938,409000,674,2.0731353759765625,81800,0.0003377637767698616,-2.26,713.78
0.7710669636726379,409500,675,2.0686354637145996,81900,5.1567807531682774e-05,-2.26,713.78
-1.5525634288787842,410000,675,2.0680980682373047,82000,0.001201758859679103,-2.25,714.68
-59.2643928527832,410500,675,2.0761942863464355,82100,0.0005691477563232183,-2.2,714.29
-2.2465591430664062,411000,675,2.069736957550049,82200,0.001805859268642962,-2.2,714.29
0.33945900201797485,411500,675,2.070645809173584,82300,3.584162186598405e-05,-2.2,714.29
0.8904983699321747,412000,676,2.0602197647094727,82400,1.1128349797218107e-05,-2.19,717.72
-26.69344711303711,412500,676,2.063594341278076,82500,5.440047971205786e-05,-2.19,717.72
0.4154815077781677,413000,676,2.0561578273773193,82600,0.00012089577649021521,-2.19,720.36
-3.569578170776367,413500,676,2.0550520420074463,82700,0.0005458780797198415,-2.2,721.73
0.3282528519630432,414000,677,2.056015729904175,82800,0.0006517324363812804,-2.2,722.47
-0.411232590675354,414500,677,2.075183391571045,82900,0.00022328703198581934,-2.2,722.47
0.9927513618022203,415000,677,2.0475101470947266,83000,4.433307367435191e-06,-2.19,725.11
-5.088931083679199,415500,677,2.052579402923584,83100,0.0016395931597799063,-2.2,724.88
-1.176955223083496,416000,678,2.0774712562561035,83200,0.00010296980326529592,-2.2,724.88
-98.87938690185547,416500,678,2.0722484588623047,83300,0.0007260713027790189,-2.23,724.98
-1.934433937072754,417000,678,2.072516918182373,83400,0.00023263129696715623,-2.23,724.98
-5.100833415985107,417500,678,2.0687108039855957,83500,0.0007006869418546557,-2.21,726.15
-6.090330600738525,418000,679,2.0525388717651367,83600,9.176587627734989e-05,-2.17,728.59
-3.5643577575683594e-05,418500,679,2.0564193725585938,83700,0.00018521115998737514,-2.17,728.59
0.9237684011459351,419000,679,2.0671122074127197,83800,8.345514288521372e-06,-2.11,729.21
-2.8841898441314697,419500,679,2.068660020828247,83900,0.0005185795016586781,-2.15,725.82
-7.204071044921875,420000,679,2.069784641265869,84000,0.00016032575513236225,-2.15,725.82
