loss_vf_loss,loss_ent,EpRewMean,EpThisIter,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpLenMean,ev_tdlam_before
0.009180414,1.2089272,-4.9,5,0.006381676,0.0,415,-0.01771064,183.479877948761,290816,722.46,0.8545225113630295
0.009059415,1.1757495,-4.89,5,0.0058906516,0.0,420,-0.016387543,185.4089756011963,294912,732.55,0.8733318746089935
0.010362177,1.1844388,-4.9,5,0.005640336,0.0,425,-0.014946975,187.48415851593018,299008,739.39,0.8654582351446152
0.011008565,1.1931493,-4.91,6,0.0055205445,0.0,431,-0.016408212,211.07535791397095,303104,741.15,0.8569180220365524
0.009799751,1.1650012,-4.9,5,0.0060475515,0.0,436,-0.018782457,213.10270738601685,307200,736.7,0.8760454878211021
0.0102849,1.1492211,-4.89,6,0.0056803734,0.0,442,-0.016762026,215.19204306602478,311296,746.05,0.8253484070301056
0.01106018,1.1054038,-4.89,6,0.0059689973,0.0,448,-0.017862942,217.39863324165344,315392,740.84,0.8404675722122192
0.011508333,1.1207064,-4.88,6,0.005317801,0.0,454,-0.015557367,219.3821198940277,319488,735.67,0.8397218883037567
0.00809091,1.0902475,-4.87,6,0.00613708,0.0,460,-0.013398147,221.31411480903625,323584,744.39,0.8858174681663513
0.008720375,1.1078035,-4.88,6,0.0058002607,0.0,466,-0.014601986,223.14487409591675,327680,737.36,0.8740696310997009
0.009954601,1.0565066,-4.89,6,0.004976552,0.0,472,-0.015755545,225.20138669013977,331776,725.87,0.8547652363777161
0.009733321,1.0731719,-4.86,4,0.005512258,0.0,476,-0.01715692,227.26737785339355,335872,737.42,0.842232272028923
0.010397972,1.0923946,-4.86,5,0.005564696,0.0,481,-0.014205125,229.07265543937683,339968,736.19,0.8602409511804581
0.008741978,1.0276531,-4.87,7,0.006709584,0.0,488,-0.016950948,230.91232085227966,344064,732.32,0.870610311627388
0.011850793,1.0311575,-4.87,6,0.0039480794,0.0,494,-0.013293905,232.85969519615173,348160,722.8,0.8190759420394897
0.012007808,1.0357702,-4.87,7,0.006802406,0.0,501,-0.014914401,234.64313173294067,352256,717.04,0.8267634361982346
0.014465915,0.9751624,-4.87,5,0.0050050346,0.0,506,-0.014508014,236.49647974967957,356352,712.3,0.8106265664100647
0.007874962,0.96650547,-4.87,6,0.0063580982,0.0,512,-0.016876603,238.39762020111084,360448,724.13,0.8744799792766571
0.008069737,1.0111859,-4.88,6,0.0061399303,0.0,518,-0.017469455,240.91671776771545,364544,714.03,0.8998951241374016
0.008830812,1.0384853,-4.88,6,0.0053082663,0.0,524,-0.015001416,243.1672716140747,368640,704.87,0.8749571144580841
0.010608168,0.99721044,-4.87,5,0.004802875,0.0,529,-0.014226201,245.05610704421997,372736,710.66,0.8349941819906235
0.007810204,0.9162472,-4.88,5,0.0067245625,0.0,534,-0.015199521,247.02575635910034,376832,718.9,0.9047145023941994
0.0094734235,0.97782815,-4.89,5,0.004563123,0.0,539,-0.014093196,248.9836826324463,380928,715.52,0.8744689673185349
0.010890628,1.0406128,-4.88,7,0.005798645,0.0,546,-0.016327253,251.017009973526,385024,714.97,0.8559059947729111
0.00986001,0.97354925,-4.87,6,0.006502565,0.0,552,-0.015359972,253.0462577342987,389120,713.15,0.863051027059555
0.008782578,0.94441396,-4.89,6,0.005620952,0.0,558,-0.017303538,255.16618037223816,393216,715.15,0.8671167343854904
0.01175129,1.0054554,-4.89,7,0.0055699106,0.0,565,-0.018722592,257.1938638687134,397312,703.76,0.7935584336519241
0.010242374,0.9328245,-4.92,5,0.0062604565,0.0,570,-0.017573934,280.26305890083313,401408,713.29,0.8308633118867874
