EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,TimestepsSoFar,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_kl
663.53,-2.26,134.20199608802795,5,0.026882116,267,176128,1.6872097,0.0,0.9045223370194435,-0.016162025,0.0075719682
669.22,-2.18,136.65699887275696,6,0.027844409,273,180224,1.6594466,0.0,0.8674283474683762,-0.014404701,0.006394527
667.44,-2.07,139.21499586105347,6,0.019592006,279,184320,1.6344289,0.0,0.8908811435103416,-0.01637631,0.0074195834
666.32,-1.96,141.87499451637268,6,0.0199026,285,188416,1.5950242,0.0,0.9098058119416237,-0.017030478,0.0067787766
666.89,-1.89,144.25899195671082,6,0.02583674,291,192512,1.5500284,0.0,0.8744490891695023,-0.015061744,0.0067103608
667.67,-1.86,146.71099591255188,5,0.03211439,296,196608,1.5598283,0.0,0.8730070739984512,-0.014923259,0.006232003
673.89,-2.03,174.12899446487427,6,0.02609684,302,200704,1.576204,0.0,0.8531258851289749,-0.014387595,0.005516484
672.44,-1.98,176.5969967842102,6,0.022877757,308,204800,1.5971807,0.0,0.8586124330759048,-0.01634952,0.0059225033
668.63,-1.99,179.2769992351532,7,0.022366824,315,208896,1.5941358,0.0,0.8988029956817627,-0.016585005,0.009001797
666.58,-2.11,181.57099437713623,6,0.018740749,321,212992,1.5898368,0.0,0.8787981197237968,-0.017585974,0.007979506
670.11,-2.25,183.58099341392517,5,0.027639244,326,217088,1.6013982,0.0,0.7483011484146118,-0.015804831,0.0066902204
665.3,-2.38,186.1509976387024,7,0.018637184,333,221184,1.5750614,0.0,0.8795762062072754,-0.016456913,0.005294277
664.36,-2.34,188.75199484825134,6,0.024693023,339,225280,1.5670167,0.0,0.8794218674302101,-0.014412026,0.0078470055
662.7,-2.33,191.15499353408813,8,0.018654078,347,229376,1.5569991,0.0,0.8816389665007591,-0.017806645,0.008417718
662.61,-2.25,193.73599457740784,6,0.020927409,353,233472,1.5583494,0.0,0.8875122144818306,-0.01823183,0.006926669
668.86,-2.19,196.23499631881714,7,0.024899151,360,237568,1.5693958,0.0,0.8712807893753052,-0.01562163,0.0058500096
661.24,-2.34,198.57999396324158,6,0.024234662,366,241664,1.5563815,0.0,0.8753576129674911,-0.016218068,0.007821257
661.6,-2.24,201.17499685287476,6,0.028732836,372,245760,1.5813607,0.0,0.8742629289627075,-0.016400289,0.007962855
655.27,-2.35,203.71599507331848,7,0.031870104,379,249856,1.5755812,0.0,0.8501947373151779,-0.014164107,0.0063857916
655.45,-2.47,206.09899759292603,6,0.026978517,385,253952,1.521854,0.0,0.8715536445379257,-0.015911203,0.008197148
654.76,-2.6,208.3039948940277,6,0.027610928,391,258048,1.5154535,0.0,0.8247445374727249,-0.01513114,0.00693207
652.58,-2.74,210.45899486541748,6,0.023824474,397,262144,1.5421997,0.0,0.787849634885788,-0.01611676,0.0060528084
646.79,-2.59,212.96999597549438,7,0.025919477,404,266240,1.5242504,0.0,0.8618134707212448,-0.01641229,0.0070071504
652.46,-2.53,215.36799478530884,5,0.025001379,409,270336,1.5214798,0.0,0.8588278442621231,-0.015988434,0.007872761
652.0,-2.53,217.59099578857422,6,0.03347752,415,274432,1.518576,0.0,0.8221845626831055,-0.016281117,0.0049892263
655.06,-2.49,219.84199476242065,6,0.019410372,421,278528,1.541575,0.0,0.8591017425060272,-0.01538503,0.0054853293
650.68,-2.45,222.31199431419373,6,0.020068027,427,282624,1.5390052,0.0,0.8508934080600739,-0.014036975,0.0039172834
658.12,-2.46,224.5319938659668,6,0.021404432,433,286720,1.5397148,0.0,0.8190187364816666,-0.019420248,0.0062449565
651.09,-2.6,226.87599444389343,7,0.022143321,440,290816,1.533412,0.0,0.8515411764383316,-0.01721973,0.0057393345
654.73,-2.6,229.16199445724487,7,0.023933416,447,294912,1.5456517,0.0,0.8491493910551071,-0.015070107,0.0043968745
659.56,-2.64,231.30799412727356,6,0.020717058,453,299008,1.5278723,0.0,0.8681016564369202,-0.017721422,0.0053687794
663.52,-2.79,258.44299483299255,5,0.022113133,458,303104,1.5307276,0.0,0.8147667497396469,-0.01580367,0.00564658
667.32,-2.7,260.93099427223206,6,0.020281034,464,307200,1.5118012,0.0,0.8551167547702789,-0.017601984,0.0063568708
669.73,-2.77,263.05199432373047,6,0.01830936,470,311296,1.5103939,0.0,0.8449080139398575,-0.017100457,0.006399779
669.84,-2.88,265.4129960536957,7,0.020836167,477,315392,1.4546869,0.0,0.856621503829956,-0.015941884,0.006997206
666.7,-2.91,267.7579972743988,6,0.0209592,483,319488,1.4506277,0.0,0.8456318080425262,-0.017769236,0.005385503
665.03,-2.86,270.08599758148193,6,0.020992722,489,323584,1.405575,0.0,0.8698796033859253,-0.018514104,0.0059742904
664.41,-2.79,272.44899725914,7,0.021727143,496,327680,1.406144,0.0,0.8596788793802261,-0.018838406,0.0063236086
663.77,-2.73,275.0389940738678,6,0.023065163,502,331776,1.3969703,0.0,0.8763621002435684,-0.017491296,0.0047764787
